1539k  1.70.34.204:8085
1288k  1.70.34.204:8083
1058k  110.178.52.111:8085
1057k  223.10.25.194:8085
1057k  110.178.52.111:8083
1054k  110.179.80.171:8083
1053k  223.10.34.88:8082
1044k  1.70.34.204:8084
1042k  223.10.34.88:8083
1041k  223.10.57.130:8083
1041k  223.10.25.194:8084
1041k  110.179.80.249:8084
1041k  110.179.80.249:8083
1041k  110.179.80.249:8082
1041k  110.179.80.171:8082
1041k  110.178.52.60:8084
1041k  110.178.52.60:8082
1041k  110.178.52.111:8084
1041k  110.178.52.111:8082
1037k  1.70.34.204:8082
1033k  223.10.25.194:8083
1027k  223.10.25.194:8082
1026k  223.10.57.130:8082
1026k  110.178.52.60:8085
1009k  110.178.52.60:8083
