1297k  125.125.180.16:3095
1295k  125.125.180.16:8888
1268k  125.125.180.16:9999
1231k  125.125.180.16:25005
1227k  125.125.180.16:8889
1218k  125.125.180.16:58888
1209k  125.125.180.16:9162
1200k  125.125.180.16:9183
1199k  125.125.180.16:1951
1183k  125.125.180.16:50060
1180k  125.125.180.16:1720
1161k  125.125.180.16:44305
1155k  125.125.180.16:3097
1154k  125.125.180.16:49671
1077k  125.125.180.16:8848
1068k  125.125.180.16:7000
1068k  125.125.180.16:1452
1059k  125.125.180.16:7443
1058k  125.125.180.16:20000
1037k  125.125.180.16:161
1014k  36.27.161.233:58888
1008k  60.189.41.143:9999
776k  115.230.209.108:9999
